Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
710429120,ACM1,-0.3856616261284458,-0.28204032849653826,0.1465426444617427
710429120,ACM1.1,-0.6828098241193006,-0.6193049186144144,0.08980949864223187
710429120,ACM4,-0.2182832405548618,-0.16252359475439837,0.0788560473241354
710429120,ACM5,-0.3900527390650428,-0.2985744866524902,0.12936978522402118
710429120,ACM5.1,-0.49760777105548293,-0.3022808756818418,0.2762339445336338
710429120,ADDB,-0.8797617038464827,-0.8743761390844016,0.0076163387275736865
710429120,ADDB.1,-0.5449028679165879,-0.4549197989098208,0.12725527657332417
710429120,ANDR,-0.25743859004136205,-0.07448584193041796,0.25873425765192576
710429120,ANXA1,-0.7559888802159591,-0.4757350423013067,0.39633877848601257
710429120,BAD.1,-0.3721482059104009,-0.27942652116540767,0.1311282640924519
710429120,BAD.2,-0.5704587180458569,-0.3857113762594273,0.26127219636674637
710429120,BCKD,-0.5619728069519985,-0.3515368059022057,0.2976014466961758
710429120,C1R,-0.903492019146654,-0.5097004936464042,0.5569053161100437
710429120,CA2D1,-0.3698841383500131,-0.43260014634292077,0.08869382908146944
710429120,CD27,-0.8150176411256131,-0.7426204899459474,0.10238503307545857
710429120,CDC2,-0.4898387420486232,-0.4280164409044729,0.0874299367351711
710429120,CDK7,-0.30366961633581724,-0.2702686800940728,0.04723605702903404
710429120,CENPA,0.016747964991317588,0.0784699876340591,0.08728812151846431
710429120,COF1,-0.9264812504569644,-0.6512672796026475,0.38921133013672865
710429120,DCX,-0.8381542233382921,-0.6314163400047148,0.2923715184666517
710429120,ERBB2,0.23403249235953894,0.22820214355911794,0.008245358346921073
710429120,ERF,-0.9276528213872277,-0.7883109672778024,0.1970591398877625
710429120,ESR1,0.05237988123194626,0.08864372604489201,0.0512848211582611
710429120,FIBA,-0.6904600145998021,-0.6786038060772661,0.016767210890893877
710429120,FOXO3,-0.3147108060658921,-0.3476367542792693,0.04656432251735228
710429120,FRAP,-0.010459448263297588,0.0640361842515027,0.10535273383999269
710429120,GPR6,-0.22323937925146886,-0.200224715883353,0.03254764906864071
710429120,GSUB,-0.5602945071116174,-0.5602974767992523,4.199772529305345e-6
710429120,GYS2,-0.4424691604956106,-0.31988396532246544,0.17336164556001474
710429120,H2B1B,-0.2582939675291005,-0.17961337220638818,0.11127116500096887
