BioNavigator Version	6.3.67.0																																																		
	Exposure time	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100	5	10	25	50	100
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Barcode	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429119	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429120	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121	710429121
	PamChip Location	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
	Visual QC	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK	OK
	Array	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_VEH	Male_INS	Male_INS	Male_INS	Male_INS	Male_INS	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_VEH	Female_INS	Female_INS	Female_INS	Female_INS	Female_INS
ID																																																			
#REF		39	78	204	409	810	42	85	212	429	867	43	88	217	453	908	39	77	203	411	810	36	78	202	406	809	43	82	215	434	846	42	81	201	401	819	39	80	203	414	834	39	77	202	406	800	40	82	208	416	846
#REF		47	95	232	475	944	48	98	247	501	1013	52	101	257	532	1062	49	96	257	514	1003	50	95	243	495	999	50	103	251	508	1038	46	97	245	493	1004	51	98	253	503	998	47	95	237	485	954	50	97	242	499	1006
